ID	Family	Group	Color	New	Check	Information	Function	File	Status	Severity	Comment	CWE ID	Key	Line	Col
715	Defect	Programming	Red	yes	Qualifier removed in conversion	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\exc\MPC5777C_exc.c	Unreviewed	Unset		CWE-704	C64EA85582314A642951295F9A259AD42815A1486A	69	5
706	Defect	Programming	Red	yes	Qualifier removed in conversion	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\exc\MPC5777C_exc.c	Unreviewed	Unset		CWE-704	C6CDA85582314A642951295F9A259AD42815A1486A	67	5
707	Defect	Programming	Red	yes	Qualifier removed in conversion	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\exc\MPC5777C_exc.c	Unreviewed	Unset		CWE-704	078CA85582314A642951295F9A259AD42815A1486A	82	5
734	Defect	Programming	Red	yes	Qualifier removed in conversion	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\exc\MPC5777C_exc.c	Unreviewed	Unset		CWE-704	E64EA85582314A642951295F9A259AD42815A1486A	79	5
751	Defect	Programming	Red	yes	Qualifier removed in conversion	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\exc\MPC5777C_exc.c	Unreviewed	Unset		CWE-704	C60EA85582314A642951295F9A259AD42815A1486A	68	5
678	Defect	Programming	Red	yes	Qualifier removed in conversion	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\exc\MPC5777C_exc.c	Unreviewed	Unset		CWE-704	A64EA85582314A642951295F9A259AD42815A1486A	59	5
722	Defect	Programming	Red	yes	Qualifier removed in conversion	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\exc\MPC5777C_exc.c	Unreviewed	Unset		CWE-704	C6CCA85582314A642951295F9A259AD42815A1486A	63	5
805	Defect	Programming	Red	yes	Qualifier removed in conversion	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\exc\MPC5777C_exc.c	Unreviewed	Unset		CWE-704	278CA85582314A642951295F9A259AD42815A1486A	92	5
732	Defect	Programming	Red	yes	Qualifier removed in conversion	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\exc\MPC5777C_exc.c	Unreviewed	Unset		CWE-704	E64DA85582314A642951295F9A259AD42815A1486A	75	5
736	Defect	Programming	Red	yes	Qualifier removed in conversion	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\exc\MPC5777C_exc.c	Unreviewed	Unset		CWE-704	E6CDA85582314A642951295F9A259AD42815A1486A	77	5
708	Defect	Programming	Red	yes	Qualifier removed in conversion	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\exc\MPC5777C_exc.c	Unreviewed	Unset		CWE-704	E68DA85582314A642951295F9A259AD42815A1486A	76	5
